序号,优先级,章节,方剂名,出处,组成,用法,功用,主治,方义,配伍特点,注意/禁忌,《方剂学》页码,来源,QA状态,QA问题,定位标题,PDF页码,书内索引页码,页码类型,定位方法,原文片段文件
19,P0,第3章 和解剂,大柴胡汤,《金匮要略》,柴胡半斤（24g） 黄芩三两（9g） 芍药三两（9g） 半夏洗，半升（9g） 枳实炙，四枚（9g） 大黄二两（6g） 大枣十二枚（4枚） 生姜五两（15g）,上八味，以水一斗二升，煮取六升，去滓，再煎，温服一升，日三服（现代用法：水煎服）。,和解少阳，内泻热结。,少阳阳明合病。往来寒热，胸胁苦满，呕不止，郁郁微烦，心下痞硬，或心下急痛，大便不解或协热下利，舌苔黄，脉弦数有力。,本方以和解少阳的小柴胡汤与轻下阳明热结的小承气汤合方加减而成。方中重用柴胡为君，疏解少阳之邪。臣以黄芩清泄少阳郁热，与柴胡相伍，和解清热，以解少阳之邪。轻用大黄、枳实泻热通腑，行气破结，内泻阳明热结，亦为臣药。芍药缓急止痛，与大黄相配可治腹中实痛，合枳实能调和气血，以除心下满痛；半夏和胃降逆，辛开散结；配伍大量生姜，既增止呕之功，又解半夏之毒，共为佐药。大枣和中益气，与生姜相配，调脾胃、和营卫，并调和诸药，为佐使药。诸药合用，既不悖少阳……,和下并用，主以和解少阳，辅以内泻热结，佐以缓急降逆。,,P.117,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.226；书内索引页码 P.117,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,大柴胡汤,P.226,P.117,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\019_大柴胡汤.txt
20,P0,第3章 和解剂,蒿芩清胆汤,《通俗伤寒论》,青蒿脑钱半至二钱（4.5～6g） 淡竹茹三钱（9g） 仙半夏钱半（4.5g） 赤茯苓三钱（9g） 青子芩钱半至三钱（4.5g～9g） 生枳壳钱半（4.5g） 陈广皮钱半（4.5g） 碧玉散（滑石、甘草、青 黛）包，三钱（9g）,水煎服。,清胆利湿，和胃化痰。,少阳湿热痰浊证。寒热如疟，寒轻热重，口苦膈闷，吐酸苦水，或呕黄涎而黏，甚则干呕呃逆，胸胁胀痛，小便黄少，舌红苔白腻，间现杂色，脉数而右滑左弦。,本方为治少阳胆热偏重，兼有湿郁痰浊内阻之证。方中青蒿苦寒芳香，既清透少阳邪热，又辟秽化浊；黄芩苦寒，善清胆热，并能燥湿，两药相合，既可内清少阳湿热，又能透邪外出，共为君药。竹茹善清胆胃之热，化痰止呕；枳壳下气宽中，除痰消痞；半夏燥湿化痰，和胃降逆；陈皮理气化痰，宽胸畅膈，四药相伍，使热清湿化痰除，共为臣药。赤茯苓、碧玉散清热利湿，导湿热从小便而去，为佐使药。综合全方，可使胆热清，痰湿化，气机畅，胃气和，则诸症均解。,芳香清透以畅少阳之枢机，苦燥降利以化湿郁之痰浊。,,P.64,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.138；书内索引页码 P.64,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,蒿芩清胆汤,P.138,P.64,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\020_蒿芩清胆汤.txt
21,P0,第3章 和解剂,四逆散,《伤寒论》,甘草炙 枳实破，水渍，炙干 柴胡 芍药各十分（各6g）,上四味，各十分，捣筛，白饮和，服方寸匕，日三服（现代用法：水煎服）。,透邪解郁，疏肝理脾。,1.阳郁厥逆证。手足不温，或腹痛，或泄利下重，脉弦。2.肝脾不和证。胁肋胀痛，脘腹疼痛，脉弦。,方中柴胡入肝胆经，升发阳气，疏肝解郁，透邪外出，为君药。白芍敛阴，养血柔肝，为臣药，与柴胡合用，以补养肝血，条达肝气，可使柴胡升散而无耗伤阴血之弊；且二者恰适肝体阴用阳之性，为疏肝法之基本配伍。佐以枳实理气解郁，泄热破结，与柴胡为伍，一升一降，增舒畅气机之功，并奏升清降浊之效；与白芍相配，又能理气和血，使气血调和。甘草调和诸药，益脾和中。四药配伍，共奏透邪解郁、疏肝理脾之效，使邪去郁解，气血调畅，清阳得伸，四逆自愈。原方用白饮（米汤）和……,疏柔相合，以适肝性；升降同用，肝脾并调。,,P.66,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.142；书内索引页码 P.66,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,四逆散,P.142,P.66,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\021_四逆散.txt
22,P0,第3章 和解剂,逍遥散,《太平惠民和剂局方》,甘草微炙赤，半两（4.5g） 当归去苗，锉，微炒 茯苓去皮，白者 芍药白者 白术 柴胡去苗，各一两（各9g）,上为粗末，每服二钱（6g），水一大盏，烧生姜一块切破，薄荷少许，同煎至七分，去渣热服，不拘时候（现代用法：加生姜3片，薄荷6g，水煎服；丸剂，每服6～9g，日服2次）。,疏肝解郁，养血健脾。,肝郁血虚脾弱证。两胁作痛，头痛目眩，口燥咽干，神疲食少，或往来寒热，或月经不调，乳房胀痛，脉弦而虚。,方中以柴胡疏肝解郁，使肝郁得以条达，为君药。当归甘辛苦温，养血和血，且其味辛散，乃血中气药；白芍酸苦微寒，养血敛阴，柔肝缓急；归、芍与柴胡同用，补肝体而助肝用，使血和则肝和，血充则肝柔，共为臣药。木郁则土衰，肝病易传脾，故以白术、茯苓、甘草健脾益气，非但实土以御木乘，且使营血生化有源，共为佐药。用法中加薄荷少许，疏散郁遏之气，透达肝经郁热；烧生姜降逆和中，且能辛散达郁，亦为佐药。柴胡引药入肝，甘草调和药性，二者兼使药之用。全方深合《素问……,疏柔合法，肝脾同调，气血兼顾。,,P.67,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.143；书内索引页码 P.67,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,逍遥散,P.143,P.67,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\022_逍遥散.txt
23,P0,第3章 和解剂,半夏泻心汤,《伤寒论》,半夏洗，半升（12g） 黄芩 干姜 人参各三两（各9g） 黄连一两（3g） 大枣擘，十二枚（4枚） 甘草炙，三两（9g）,上七味，以水一斗，煮取六升，去滓，再煎，取三升，温服一升，日三服（现代用法：水煎服）。,寒热平调，散结除痞。,寒热互结之痞证。心下痞，但满而不痛，或呕吐，肠鸣下利，舌苔腻而微黄。,方中以辛温之半夏为君，散结除痞，又善降逆止呕。臣以辛热之干姜温中散寒，以苦寒之黄芩、黄连泄热开痞。君臣相伍，寒热平调，辛开苦降。然寒热互结，又缘于中虚失运，升降失常，故以人参、大枣甘温益气，以补脾虚，为佐药。甘草补脾和中而调诸药，为佐使药。诸药相伍，使寒去热清，升降复常，则痞满可除，呕利自愈。,寒热平调以和阴阳，辛开苦降以调气机，补泻兼施以顾虚实。,,P.69,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.148；书内索引页码 P.69,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,半夏泻心汤,P.148,P.69,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\023_半夏泻心汤.txt
24,P0,第4章 清热剂,白虎汤,《伤寒论》,石膏碎，一斤（50g） 知母六两（18g） 甘草炙，二两（6g） 粳米六合（9g）,上四味，以水一斗，煮，米熟汤成，去滓，温服一升，日三服（现代用法：水煎，米熟汤成，温服）。,清热生津。,气分热盛证。壮热面赤，烦渴引饮，汗出恶热，脉洪大有力。,方中重用石膏辛甘大寒，主入肺胃气分，善能清阳明气分大热，清热而不伤阴，并能止渴除烦，用为君药。臣以知母苦寒质润，“清肺胃气分之热，热去则津液不耗，而阴自潜滋暗长矣”（《重庆堂随笔》），既“佐石膏以扫炎熇”（《本草正义》），又滋阴润燥，救已伤之阴津，以止渴除烦。石膏配知母相须为用，清热除烦、生津止渴之力尤强，为治气分大热之最佳配伍。粳米、炙甘草益胃生津，缓石膏、知母苦寒重降之性，可防大寒伤中之弊，并留恋药气，均为佐药。炙甘草兼以调和诸药为……,重用辛寒清气，伍以苦寒质润，少佐甘温和中，则清不伤阴，寒不伤中。,“伤寒脉浮，发热无汗，其表不解者，不可与白虎汤。 ”（《伤寒论·辨太阳病脉证并治》）“白虎本为达热出表，若其人脉浮弦而细者，不可与也； 脉沉者，不可与也； 不渴者，不可与也； 汗不出者，不可与也。 常须识此，勿令误也。,P.72,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.152；书内索引页码 P.72,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,白虎汤,P.152,P.72,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\024_白虎汤.txt
25,P0,第4章 清热剂,竹叶石膏汤,《伤寒论》,竹叶二把（6g） 石膏一斤（50g） 半夏洗，半升（9g） 麦门冬去心，一升（20g） 人参二两（6g） 甘草炙，二两（6g） 粳米半升（10g）,上七味，以水一斗，煮取六升，去滓，内粳米，煮米熟汤成，去米，温服一升，日三服（现代用法：水煎服）。,清热生津，益气和胃。,伤寒、温病、暑病余热未清，气阴两伤证。身热多汗，心胸烦闷，气逆欲呕，口干喜饮，虚羸少气，或虚烦不寐，舌红苔少，脉虚数。,方中石膏清热生津，除烦止渴，为君药。人参益气生津；麦冬养阴生津清热，二者气阴双补，共为臣药。君臣相合，清补并行。半夏降逆和胃止呕，其性虽温，但与倍量之麦冬相伍，则温燥之性去而降逆之用存，且亦使人参、麦冬补而不滞；竹叶清热除烦；粳米、甘草养胃和中，与半夏相合可防石膏寒凉伤胃，与人参相伍可益脾养胃，共为佐药。甘草调和诸药，兼为使药。诸药相伍，共奏清热生津、益气和胃之效。本方由白虎汤去知母，加竹叶、半夏、麦门冬、人参组成，正如《医宗金鉴》所言……,辛甘大寒与甘寒甘温合为清补之剂，清而不寒，补而不滞。,,P.74,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.154；书内索引页码 P.74,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,竹叶石膏汤,P.154,P.74,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\025_竹叶石膏汤.txt
26,P0,第4章 清热剂,清营汤,《温病条辨》,犀角三钱（水牛角代，30g） 生地黄五钱（15g） 元参三钱（9g） 竹叶心一钱（3g） 麦冬三钱（9g） 丹参二钱（6g） 黄连一钱五分（5g） 银花三钱（9g） 连翘连心用，二钱（6g）,上药，水八杯，煮取三杯，日三服（现代用法：作汤剂，水牛角镑片先煎，后下余药）。,清营解毒，透热养阴。,热入营分证。身热夜甚，神烦少寐，时有谵语，目常喜开或喜闭，口渴或不渴，斑疹隐隐，脉细数，舌绛而干。,方用苦咸寒之犀角（现用水牛角代）清解营分之热毒，为君药。热伤营阴，又以生地黄清热凉血养阴，麦冬清热养阴生津，玄参滋阴降火解毒，三药既可甘寒养阴保津，又可助君药清营凉血解毒，共为臣药。君臣相配，苦咸寒与甘寒并用，清营热而养营阴，祛邪扶正兼顾。温邪初入营分，尚有外泄之机，故用银花、连翘清热解毒，轻清透泄，促使营分热邪向外从气分透泄而解，此即叶桂所云“入营犹可透热转气”；竹叶清心除烦，黄连清心解毒；丹参清热凉血，并能活血散瘀，可防热与血结，深……,辛苦甘寒以滋养清解，透热转气以入营清散。,原著云：“舌白滑者，不可与也。 ”并在该条自注中又云“舌白滑，不惟热重，湿亦重矣，湿重忌柔润药”，以防滋腻而助湿留邪。,P.75,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.157；书内索引页码 P.75,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,清营汤,P.157,P.75,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\026_清营汤.txt
27,P0,第4章 清热剂,犀角地黄汤,《外台秘要》,芍药三分（9g） 地黄半斤（24g） 丹皮一两（12g） 犀角屑一两（水牛角代，30g）,上四味切，以水一斗，煮取四升，去滓，温服一升，日二三服（现代用法：作汤剂，水煎服，水牛角镑片先煎，余药后下）。,清热解毒，凉血散瘀。,热入血分证。身热谵语，斑色紫黑，或吐血、衄血、便血、尿血，舌深绛起刺，脉数；或喜忘如狂，或漱水不欲咽，或大便色黑易解。,方用苦咸寒之犀角（现用水牛角代）为君，直入血分，凉血清心而解热毒，使热清毒解血宁。臣以甘苦寒之生地黄，清热凉血养阴，既助君药清热凉血，又复已失之阴血。君臣相伍，以清为主，兼以补固。芍药、丹皮为佐，清热凉血，活血散瘀，可收化斑之功。四药相配，共成清热解毒、凉血散瘀之剂。,咸苦甘寒，直入血分，清中有养，无耗血之弊；凉血散血，无留瘀之患。,,P.76,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.158；书内索引页码 P.76,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,犀角地黄汤,P.158,P.76,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\027_犀角地黄汤.txt
28,P0,第4章 清热剂,黄连解毒汤,《外台秘要》,黄连三两（9g） 黄芩 黄柏各二两（各6g） 栀子擘，十四枚（9g）,上四味切，以水六升，煮取二升，分二服（现代用法：水煎服）。,泻火解毒。,三焦火毒热盛证。大热烦躁，口燥咽干，错语不眠；或热病吐血、衄血；或热甚发斑，或身热下痢，或湿热黄疸；或外科痈疡疔毒，小便黄赤，舌红苔黄，脉数有力。,方中以黄连为君，既入上焦以清泻心火，盖因心为君火之脏，泻火必先清心，心火宁，则诸经之火自降；又入中焦，泻中焦之火。臣以黄芩清上焦之火，黄柏泻下焦之火。栀子清泻三焦之火，导热下行，用为佐使。诸药相伍，共奏泻火解毒之效。根据《素问·至真要大论》中“诸痛痒疮，皆属于心”之论，本方对于热毒壅聚肌腠之痈肿疔毒，亦可泻心火、解热毒而治之。,苦寒直折，泻火解毒，三焦并清。,本方为大苦大寒之剂，久服或过量服用易伤脾胃，故非火盛者不宜使用。,P.77,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.161；书内索引页码 P.77,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,黄连解毒汤,P.161,P.77,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\028_黄连解毒汤.txt
