序号,章节,方剂名,出处,组成,用法,功用,主治,方义,配伍特点,注意/禁忌,《方剂学》页码,来源,QA状态,QA问题,药典候选状态,药典候选标题,药典候选来源,药典候选原文预览,定位标题,PDF页码,书内索引页码,页码类型,定位方法,原文片段文件
105,第15章 祛湿剂,五苓散,《伤寒论》,猪苓去皮，十八铢（9g） 泽泻一两六铢（15g） 白术十八铢（9g） 茯苓十八铢（9g） 桂枝去皮，半两（6g）,上五味，捣为散，以白饮和，服方寸匕，日三服，多饮暖水，汗出愈，如法将息（现代用法：散剂，每服6～10g，多饮热水，取微汗；亦可作汤剂，水煎服，温服取微汗）。,利水渗湿，温阳化气。,1.蓄水证。小便不利，头痛微热，烦渴欲饮，甚则水入即吐，舌苔白，脉浮。2.痰饮。脐下动悸，吐涎沫而头眩，或短气而咳者。3.水湿内停证。水肿，泄泻，小便不利，以及霍乱吐泻等。,方中重用泽泻为君，利水渗湿。臣以茯苓、猪苓助君药利水渗湿。佐以白术补气健脾以运化水湿，合茯苓既可彰健脾制水之效，又可奏输津四布之功。《素问·灵兰秘典论》谓：“膀胱者，州都之官，津液藏焉，气化则能出矣。”膀胱之气化有赖于阳气之蒸腾，故又佐以桂枝温阳化气以助利水，且可辛温发散以祛表邪，一药而表里兼治。诸药相伍，共奏淡渗利湿，健脾助运，温阳化气，解表散邪之功。由于方中桂枝并非专为解表而设，故“蓄水证”得之，有利水而解表之功；痰饮病得之，有温阳……,主入下焦而兼运中州，渗利之中寓化气之法。,,P.253,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.446；书内索引页码 P.253,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典精确命中,五苓散,中华人民共和国药典：2020年版．一部 P.694 entryId=898,纤维单个散在，长梭形，直径24～50μm，壁厚，木化；石细胞类方形或类圆形，壁一面菲薄（肉桂）。,五苓散,P.446,P.253,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\105_五苓散.txt
106,第15章 祛湿剂,苓桂术甘汤,《金匮要略》,茯苓四两（12g） 桂枝三两（9g） 白术三两（9g） 甘草炙，二两（6g）,上四味，以水六升，煮取三升，分温三服（现代用法：水煎服）。,温阳化饮，健脾利水。,中阳不足之痰饮。胸胁支满，目眩心悸，或短气而咳，舌苔白滑，脉弦滑或沉紧。,方以甘淡之茯苓为君，健脾利水渗湿，消已聚之饮，杜生痰之源。臣以桂枝温阳化气。苓、桂相伍，温阳行水之功著，为阳虚水停之常用配伍。再佐以白术健脾燥湿，苓、术相须，健脾祛湿之力强，是治病求本之意。又辅以炙甘草，补中益气，其合白术，益气健脾，崇土制水；配桂枝，辛甘化阳，温补中焦，并可调和诸药，而兼佐使之用。四药相合，中阳得建，痰饮得化，津液得布，诸症自愈。,淡渗甘温合法，温而不热，利而不峻，为治痰饮之和剂。,,P.258,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.453；书内索引页码 P.258,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…1222参苓白术散…1223参松养心胶囊…1224参茸白凤丸…1225参茸固本片…1226参茸保胎丸…1227参桂胶囊…1227参精止渴丸…1228驻车丸…1229九画　春珍草茵茴荜荡胡药枳柏栀厚按胃咳骨香复便保恒追胆脉独急姜养前首洁活济洋津宣宫穿冠祛祖神除春血安胶囊,苓桂术甘汤,P.453,P.258,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\106_苓桂术甘汤.txt
107,第15章 祛湿剂,真武汤,《伤寒论》,茯苓三两（9g） 芍药三两（9g） 白术二两（6g） 生姜切，三两（9g） 附子炮，去皮，破八 片，一枚（9g）,上五味，以水八升，煮取三升，去滓，温服七合，日三服（现代用法：水煎服）。,温阳利水。,1.阳虚水泛证。小便不利，四肢沉重疼痛，浮肿，腰以下为甚，畏寒肢冷，腹痛，下利，或咳，或呕，舌淡胖，苔白滑，脉沉细。2.太阳病发汗太过，阳虚水泛证。汗出不解，其人仍发热，心下悸，头眩，身 动，振振欲擗地。,方中君以大辛大热之附子，温肾助阳以化气行水，暖脾抑阴以温运水湿。茯苓、白术补气健脾，利水渗湿，合附子可温脾阳而助运化，同为臣药。佐以辛温之生姜，配附子温阳散寒，伍苓、术辛散水气，并可和胃而止呕。配伍酸收之白芍，其意有四：一者利小便以行水气，《本经》言其能“利小便”，《名医别录》亦谓之“去水气，利膀胱”；二者柔肝缓急以止腹痛；三者敛阴舒筋以解筋肉 动；四者防止附子燥热伤阴，亦为佐药。全方泻中有补，标本兼顾，共奏温阳利水之功。,辛热渗利合法，纳酸柔于温利之中，脾肾兼顾，重在温肾。,,P.260,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.455；书内索引页码 P.260,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,0992　固体密度测定法,中华人民共和国药典：2020年版．四部 P.185 entryId=5496,真密度：物质的真密度是单位体积上的平均质量，不计由于分子堆积排列造成的空隙体积。这是物质的内在性质，与测定方法无关。晶体的密度可由其大小和晶胞组成测得。,真武汤,P.455,P.260,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\107_真武汤.txt
108,第15章 祛湿剂,独活寄生汤,《备急千金要方》,独活三两（9g） 桑寄生 杜仲 牛膝 细辛 秦艽 茯苓 肉桂心 防风 川芎 人参 甘草 当归 芍药 干地黄各二两（各6g）,上 咀，以水一斗，煮取三升，分三服，温身勿冷也（现代用法：水煎服）。,祛风湿，止痹痛，益肝肾，补气血。,痹证日久，肝肾两虚，气血不足证。腰膝疼痛，肢节屈伸不利，或麻木不仁，畏寒喜温，心悸气短，舌淡苔白，脉细弱。,方中重用独活为君，辛苦微温，善治伏风，长于祛下焦风寒湿邪而除痹痛。细辛发散阴经风寒，搜剔筋骨风湿；防风、秦艽祛风胜湿，活络舒筋；桂心温里祛寒，通行血脉。四药助君祛风胜湿，宣痹止痛，共为臣药。桑寄生、牛膝、杜仲补肝肾，祛风湿，壮筋骨；当归、芍药、地黄、川芎养血活血，寓“治风先治血，血行风自灭”之意；人参、茯苓、甘草补气健脾，皆为佐药。甘草调和诸药，又为使药。诸药合用，风寒湿邪俱除，肝肾强健，气血充盛，诸症自缓。,辛温行散与甘温滋柔合法，纳益肝肾、补气血于祛邪蠲痹之中，邪正兼顾。,上 咀，以水一斗，煮取三升，分三服，温身勿冷也（现代用法：水煎服）。,P.265,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.464；书内索引页码 P.265,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,官方药典有候选命中,独活寄生合剂,中华人民共和国药典：2020年版．一部 P.1420 entryId=1693,【处方】独活98g桑寄生65g秦艽65g防风65g细辛65g当归65g白芍65g川芎65g熟地黄65g盐杜仲65g川牛膝65g党参65g茯苓65g甘草65g桂枝65g【制法】以上十五味，秦艽、白芍和盐杜仲,独活寄生汤,P.464,P.265,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\108_独活寄生汤.txt
109,第15章 祛湿剂,当归拈痛汤,《医学启源》,羌活半两（15g） 防风三钱（9g） 升麻一钱（3g） 葛根二钱（6g） 白术一钱（3g） 苍术三钱（9g） 当归身三钱（9g） 人参二钱（6g） 甘草五钱（15g） 苦参酒浸，二钱（6g） 黄芩炒，一钱（3g） 知母酒洗，三钱（9g） 茵陈酒炒，五钱（15g） 猪苓三钱（9g） 泽泻三钱（9g）,上锉，如麻豆大。每服一两（30g），水二盏半，先以水拌湿，候少时，煎至一盏，去滓温服。待少时，美膳压之（现代用法：水煎服）。,利湿清热，疏风止痛。,湿热相搏，外受风邪证。遍身肢节烦痛，或肩背沉重，或脚气肿痛，脚膝生疮，舌苔白腻或微黄，脉濡数。,方中羌活辛散祛风，苦燥胜湿，通痹止痛，尤擅治上肢肩背之痛；茵陈苦泄下降，清热利湿，《本草拾遗》言其能“通关节，去滞热”，两药相合，共成祛风散邪，除湿清热，通痹止痛之功，使风湿热邪由内外分消，故重用以为君药。臣以猪苓、泽泻甘淡以助茵陈渗湿热于下；黄芩、苦参寒凉以助茵陈清热毒于内。佐入防风、升麻、葛根辛散以助羌活祛风湿于外；苍术辛温，擅除内外之湿；白术甘温，专以健脾燥湿；知母苦寒质润，既可助诸药清热之力，又可防苦燥渗利伤阴之偏；当归养血活血……,辛散清利之中寓补气养血之法，表里同治，上下分消。,,P.250,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.441；书内索引页码 P.250,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,当归拈痛丸,中华人民共和国药典：2020年版．一部 P.935 entryId=1166,用于湿热闭阻所致的痹病，症见关节红肿热痛或足胫红肿热痛；亦可用于疮疡。【用法与用量】口服。一次9g，一日2次。【注意】孕妇及风寒湿闭阻痹病者慎用；忌食辛辣油腻食物。【规格】每18丸重1g【贮藏】密封。,当归拈痛汤（又名拈痛汤）,P.441,P.250,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\109_当归拈痛汤.txt
110,第16章 祛痰剂,二陈汤,《太平惠民和剂局方》,半夏汤洗七次 橘红各五两（各15g） 白茯苓三两（9g） 甘草炙，一两半（4.5g）,上药 咀，每服四钱（12g），用水一盏，生姜七片，乌梅一个，同煎六分，去滓，热服，不拘时候（现代用法：加生姜7片，乌梅1枚，水煎服）。,燥湿化痰，理气和中。,湿痰证。咳嗽痰多，色白易咯，恶心呕吐，胸膈痞闷，肢体困重，或头眩心悸，舌苔白滑或腻，脉滑。,方中半夏辛温而燥，燥湿化痰，降逆和胃，散结消痞，《本草从新》言其为“治湿痰之主药”，故为君药。湿痰既成，阻滞气机，橘红辛苦温燥，理气行滞，燥湿化痰，乃“治痰先治气，气顺则痰消”之意，为臣药。茯苓甘淡，渗湿健脾以杜生痰之源，与半夏配伍，体现了朱丹溪“燥湿渗湿则不生痰”之理；生姜既助半夏降逆，又制半夏之毒；少许乌梅收敛肺气，与半夏相伍，散中有收，使祛痰而不伤正，且有“欲劫之而先聚之”之意，均为佐药。炙甘草调和诸药，为使药。方中“陈皮、半夏贵……,燥化之中寓行运之法，重在治脾以消痰。,若阴虚燥咳，痰中带血者，不宜应用本方。,P.267,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.469；书内索引页码 P.267,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,官方药典未命中,,,,二陈汤,P.469,P.267,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\110_二陈汤.txt
111,第16章 祛痰剂,温胆汤,《三因极一病证方论》,半夏汤洗七次 竹茹 枳实麸炒，去瓤，各二两（各6g） 陈皮三两（9g） 甘草炙，一两（3g） 茯苓一两半（4.5g）,上为锉散，每服四大钱，水一盏半，姜五片，枣一枚，煎七分，去滓，食前服（现代用法：加生姜5片，大枣1枚，水煎服）。,理气化痰，清胆和胃。,胆胃不和，痰热内扰证。胆怯易惊，虚烦不宁，失眠多梦，或呕恶呃逆，或眩晕，或癫痫等，苔腻微黄，脉弦滑。,方中半夏燥湿化痰，和胃止呕，为君药。竹茹清胆和胃，清热化痰，除烦止呕，为臣药。君臣相配，既化痰和胃，又清胆热，令胆气清肃，胃气顺降，则胆胃得和，烦呕自止。陈皮理气和中，燥湿化痰；枳实破气化痰；茯苓渗湿健脾以消痰；生姜、大枣和中培土，使水湿无以留聚，共为佐药。炙甘草益气和中，调和诸药，为佐使药。综合全方，半夏、陈皮、生姜偏温，竹茹、枳实偏凉，温凉兼进，令全方不寒不燥，理气化痰以和胃，胃气和降则胆郁得舒，痰浊得去则胆无邪扰，如是则复其宁谧……,化痰与理气共施，温而不燥；清胆与和胃并行，凉而不寒。,,P.270,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.472；书内索引页码 P.270,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,茵陈,中华人民共和国药典：2020年版．一部 P.299 entryId=373,归脾、胃、肝、胆经。【功能与主治】清利湿热，利胆退黄。用于黄疸尿少，湿温暑湿，湿疮瘙痒。【用法与用量】6～15g。外用适量，煎汤熏洗。【贮藏】置阴凉干燥处，防潮。,温胆汤,P.472,P.270,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\111_温胆汤.txt
112,第16章 祛痰剂,清气化痰丸,《医方考》,陈皮去白 杏仁去皮尖 枳实麸炒 黄芩酒炒 瓜蒌仁去油 茯苓各一两（各6g） 胆南星 制半夏各一两半（各9g）,姜汁为丸。每服二至三钱，温开水送下（现代用法：生姜汁为丸，每服6～9g，日2次，温开水送下；亦可作汤剂，加生姜3片，水煎服）。,清热化痰，理气止咳。,热痰咳嗽。咳嗽，痰黄稠，胸膈痞闷，甚则气急呕恶，舌质红，苔黄腻，脉滑数。,本方系二陈汤去甘草、乌梅，加胆南星、瓜蒌仁、黄芩、杏仁、枳实而成。方中胆南星味苦性凉，功善清热豁痰，为君药。瓜蒌仁甘寒质润而性滑，长于清热化痰，黄芩苦寒，功善清泻肺火，二者合用，助君药以增强清肺热、化痰结之力；制半夏虽属辛温之品，但与苦寒之黄芩相配，则避其性温助热之弊，而独取化痰散结、降逆止呕之功，共为臣药。治痰者当须降其火，治火者必须顺其气，故佐以杏仁降利肺气，陈皮理气化痰，枳实破气化痰，并佐茯苓健脾渗湿。使以姜汁为丸，既可制半夏之毒……,苦寒与辛燥合法，清化佐以行降，气顺火清痰消。,,P.271,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.475；书内索引页码 P.271,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典精确命中,清气化痰丸,中华人民共和国药典：2020年版．一部 P.1711 entryId=2011,另取生姜100g，捣碎，加水适量，压榨取汁，与上述粉末泛丸，干燥，即得。【性状】本品为灰黄色的水丸；气微，味苦。【鉴别】（1）取本品，置显微镜下观察：糊化淀粉团块无色（胆南星）。,清气化痰丸,P.475,P.271,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\112_清气化痰丸.txt
113,第16章 祛痰剂,贝母瓜蒌散,《医学心悟》,贝母一钱五分（9g） 瓜蒌一钱（6g） 花粉 茯苓 橘红 桔梗各八分（各5g）,水煎服。,润肺清热，理气化痰。,燥痰咳嗽。咳嗽痰少，咯痰不爽，涩而难出，咽喉干燥，苔白而干。,方中贝母甘而性微寒，主入肺经，清热化痰，润肺止咳，为君药。瓜蒌功善清热涤痰，利气润燥，与贝母相须为用，增强清润化痰止咳之力，为臣药。佐以天花粉清肺生津，润燥化痰。张锡纯谓：“天花粉为其能生津止渴，故能润肺，化肺中燥痰，宁肺止嗽。”（《医学衷中参西录》） 茯苓健脾渗湿以祛痰，橘红理气化痰，使气顺痰消；桔梗宣利肺气，化痰止咳，使肺宣降有权，亦为佐药。诸药相伍，使肺得清润而燥痰自化，宣降有权而咳逆自平。《医学心悟》另有一贝母瓜蒌散，较本方少天……,重用甘寒，清润化痰而不伤津。,,P.274,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.480；书内索引页码 P.274,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,川乌,中华人民共和国药典：2020年版．一部 P.89 entryId=54,【注意】生品内服宜慎；孕妇禁用；不宜与半夏、瓜蒌、瓜蒌子、瓜蒌皮、天花粉、川贝母、浙贝母、平贝母、伊贝母、湖北贝母、白蔹、白及同用。【贮藏】置通风干燥处，防蛀。,贝母瓜蒌散,P.480,P.274,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\113_贝母瓜蒌散.txt
114,第16章 祛痰剂,苓甘五味姜辛汤,《金匮要略》,茯苓四两（12g） 甘草三两（9g） 干姜三两（9g） 细辛三两（3g） 五味子半升（5g）,上五味，以水八升，煮取三升，去滓，温服半升，日三服（现代用法：水煎服）。,温肺化饮。,寒饮咳嗽。咳嗽痰多，清稀色白，胸膈痞满，舌苔白滑，脉弦滑。,方中用干姜为君，入肺、脾经，既温肺化饮，又温脾化湿。细辛为方中臣药，温肺散寒化饮，助干姜温散凝聚之寒饮。仲景每以两味配伍以温阳化饮，其中干姜温热为主，温阳化饮之力强，细辛以辛散为主，开郁散饮之力优，两者相伍，温肺化饮之力倍增。茯苓健脾渗湿，既可化已聚之痰，又能杜生痰之源，亦为臣药。喘咳日久，必耗散肺气，方中诸药又是以辛散温燥之药为主，恐更伤肺气，故佐以五味子敛肺止咳，与干姜、细辛为伍，一散一收，开阖相济，散不伤正，收不留邪，既防辛散耗伤……,温散之中佐以酸收，开阖相济，温肺散饮。,,P.275,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.482；书内索引页码 P.275,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…645五苓散…645五虎散…646五味子颗粒…647五味子糖浆…647五味沙棘散…648五味清浊散…648五味麝香丸…649五黄养阴颗粒…649五福化毒丸…650五福化毒片…651比拜克胶囊…652牙痛一粒丸,苓甘五味姜辛汤,P.482,P.275,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\114_苓甘五味姜辛汤.txt
115,第16章 祛痰剂,半夏白术天麻汤,《医学心悟》,半夏一钱五分（9g） 天麻 茯苓 橘红各一钱（各6g） 白术三钱（18g） 甘草五分（3g）,生姜一片，大枣二枚，水煎服（现代用法：加生姜1片，大枣2枚，水煎服）。,化痰息风，健脾祛湿。,风痰上扰证。眩晕，头痛，胸膈痞闷，恶心呕吐，舌苔白腻，脉弦滑。,本方乃二陈汤去乌梅，加天麻、白术、大枣而成。方中半夏辛温而燥，燥湿化痰，降逆止呕；天麻甘平而润，入肝经，善于平肝息风而止眩晕。二者配伍，长于化痰息风，“头旋眼花，非天麻、半夏不除”，共为君药。白术健脾燥湿； 茯苓健脾渗湿，以治生痰之本，与半夏、天麻配伍，加强化痰息风之效，共为臣药。橘红理气化痰，使气顺痰消，为佐药。使以甘草调药和中，煎加姜、枣以调和脾胃。诸药合用，共奏化痰息风、健脾祛湿之效。《医学心悟》另有一半夏白术天麻汤，较本方白术减……,“二陈”治痰之法伍息风之品，肝脾同调而成治风痰之剂。,,P.277；P.278,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.486；书内索引页码 P.277；P.278,同名/多出处需复核,方名索引存在多个页码/同名方，已抽取首个正文定位，需人工确认版本。；教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,消眩止晕片,中华人民共和国药典：2020年版．一部 P.1590 entryId=1885,【处方】火炭母400g鸡矢藤100g姜半夏50g白术50g天麻50g丹参100g当归25g白芍40g茯苓50g木瓜40g枳实25g砂仁5g石菖蒲50g白芷15g【制法】以上十四味，天麻、茯苓、砂仁、白芷粉碎成细粉,半夏白术天麻汤,P.486,P.277；P.278,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\115_半夏白术天麻汤.txt
116,第17章 消食剂+驱虫剂,保和丸,《丹溪心法》,山楂六两（18g） 神曲二两（6g） 半夏 茯苓各三两（各9g） 陈皮 连翘 莱菔子各 一两（各3g）,上为末，炊饼为丸，如梧桐子大，每服七八十丸，食远白汤下（现代用法：共为末，水泛为丸，每服6～9g，温开水送下；亦可作汤剂，水煎服）。,消食化滞，理气和胃。,食积证。脘腹痞满胀痛，嗳腐吞酸，恶食呕逆，或大便泄泻，舌苔厚腻，脉滑。,方中以山楂为君药，可消一切饮食积滞，尤善消肉食油腻之积。臣以神曲消食健脾，更长于化酒食陈腐之积；莱菔子消食下气，长于消麦面痰气之积。三药同用，可消各种饮食积滞。佐以半夏、陈皮行气化滞，和胃止呕；茯苓健脾利湿，和中止泻。食积易于化热，故又佐以苦而微寒之连翘，既可散结以助消积，又可清解食积所生之热。全方合用，共奏消食和胃之功，使食积得化，脾胃调和，热清湿去，则诸症可愈。本方以消导为主，但作用平和。诚如《成方便读》所云：“此方虽纯用消导，毕竟……,消食之中兼以行气理脾，以消为主。,,P.281,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.492；书内索引页码 P.281,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典精确命中,保和丸,中华人民共和国药典：2020年版．一部 P.1399 entryId=1672,本品含陈皮以橙皮苷（C28H34O15）计，小蜜丸每1g不得少于0.78mg，大蜜丸每丸不得少于7.0mg。【功能与主治】消食，导滞，和胃。用于食积停滞，脘腹胀满，嗳腐吞酸，不欲饮食。,保和丸,P.492,P.281,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\116_保和丸.txt
